PRO	program	1	1
LLA	{	1	8
FLO	float	2	1
ID	b	2	6
COM	,	2	7
ID	a	2	8
PYC	;	2	9
INT	int	3	1
ID	c	3	4
PYC	;	3	5
ID	b	4	1
IGU	=	4	2
NUM	24.0	4	3
MAS	+	4	7
NUM	4	4	8
MEN	-	4	9
NUM	1	4	10
DIV	/	4	11
NUM	3	4	12
MUL	*	4	13
NUM	2	4	14
MAS	+	4	15
NUM	34	4	16
MEN	-	4	18
NUM	1	4	19
PYC	;	4	20
IF	if	5	1
PA	(	5	3
ID	b	5	4
EQL	==	5	5
NUM	60	5	7
OR	||	5	9
PA	(	5	11
ID	b	5	12
MOR	<	5	13
NUM	33	5	14
AND	and	5	16
ID	b	5	19
EQL	==	5	20
NUM	44	5	22
PC	)	5	24
PC	)	5	25
LLA	{	5	26
ID	b	6	1
IGU	=	6	2
NUM	2	6	3
PYC	;	6	4
LLC	}	6	5
ELS	else	7	1
LLA	{	7	5
ID	b	8	1
IGU	=	8	2
NUM	9	8	3
PYC	;	8	4
IF	if	9	1
PA	(	9	3
ID	b	9	4
NEQ	!=	9	5
NUM	78	9	7
PC	)	9	9
LLA	{	9	10
ID	b	10	1
IGU	=	10	2
NUM	32	10	3
PYC	;	10	5
LLC	}	11	1
ELS	else	12	1
LLA	{	12	5
ID	b	13	1
IGU	=	13	2
NUM	3	13	3
PYC	;	13	4
LLC	}	13	5
LLC	}	14	1
ID	a	15	1
IGU	=	15	2
NUM	45.0	15	3
DIV	/	15	7
NUM	4	15	8
PYC	;	15	9
ID	c	16	1
IGU	=	16	2
NUM	45	16	3
DIV	/	16	5
NUM	4	16	6
PYC	;	16	7
LLC	}	17	1
